"","t","S.t","Z.t","R.t","N","beta","kappa","rho"
"112",112,3,64339,435658,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"113",113,3,64346,435651,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"114",114,3,64353,435644,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"115",115,3,64360,435637,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"116",116,3,64367,435630,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"117",117,3,64374,435623,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"118",118,3,64381,435616,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"119",119,3,64388,435609,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"120",120,3,64395,435602,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"121",121,3,64402,435595,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"122",122,3,64409,435588,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"123",123,3,64416,435581,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"124",124,3,64423,435574,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"125",125,3,64430,435567,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"126",126,3,64437,435560,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"127",127,3,64444,435553,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"128",128,3,64451,435546,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"129",129,3,64458,435539,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"130",130,3,64465,435532,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"131",131,3,64472,435525,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"132",132,3,64479,435518,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"133",133,3,64486,435511,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"134",134,3,64493,435504,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"135",135,3,64500,435497,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"136",136,3,64507,435490,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"137",137,3,64514,435483,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"138",138,3,64521,435476,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"139",139,3,64528,435469,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"140",140,3,64535,435462,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"141",141,3,64542,435455,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"142",142,3,64549,435448,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"143",143,3,64556,435441,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"144",144,3,64563,435434,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"145",145,3,64570,435427,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"146",146,3,64577,435420,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"147",147,3,64584,435413,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"148",148,3,64591,435406,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"149",149,3,64598,435399,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
"150",150,3,64605,435392,5e+05,4.85914265137857e-06,9.73548951902507e-06,2.01977957340596e-05
